"Estágio de vida";"EER usado (kcal/dia)";"Nutriente";"Colunas TACO usadas";"Tipo";"Alvo";"Mínimo";"Máximo";"Unidade";"Base científica";"Observações";"Meta calórica para LP (kcal/dia)";"Déficit aplicado (kcal/dia)"
"male_19_30";"4098";"20:0 (g)";"20:0 (g)";"sem DRI individual";"";"";"";"";"Sem RDA/AI individual estabelecida para esta coluna isolada";"Use como dado de composição alimentar, não como meta diária isolada.";"2098";"2000"
"male_19_30";"4098";"22:0 (g)";"22:0 (g)";"sem DRI individual";"";"";"";"";"Sem RDA/AI individual estabelecida para esta coluna isolada";"Use como dado de composição alimentar, não como meta diária isolada.";"2098";"2000"
"male_19_30";"4098";"24:0 (g)";"24:0 (g)";"sem DRI individual";"";"";"";"";"Sem RDA/AI individual estabelecida para esta coluna isolada";"Use como dado de composição alimentar, não como meta diária isolada.";"2098";"2000"
"male_19_30";"4098";"14:1 (g)";"14:1 (g)";"sem DRI individual";"";"";"";"";"Sem RDA/AI individual estabelecida para esta coluna isolada";"Use como dado de composição alimentar, não como meta diária isolada.";"2098";"2000"
"male_19_30";"4098";"16:1 (g)";"16:1 (g)";"sem DRI individual";"";"";"";"";"Sem RDA/AI individual estabelecida para esta coluna isolada";"Use como dado de composição alimentar, não como meta diária isolada.";"2098";"2000"
"male_19_30";"4098";"18:1 (g)";"18:1 (g)";"sem DRI individual";"";"";"";"";"Sem RDA/AI individual estabelecida para esta coluna isolada";"Use como dado de composição alimentar, não como meta diária isolada.";"2098";"2000"
"male_19_30";"4098";"20:1 (g)";"20:1 (g)";"sem DRI individual";"";"";"";"";"Sem RDA/AI individual estabelecida para esta coluna isolada";"Use como dado de composição alimentar, não como meta diária isolada.";"2098";"2000"
"male_19_30";"4098";"20:4 (g)";"20:4 (g)";"sem DRI individual";"";"";"";"";"Sem RDA/AI individual estabelecida para esta coluna isolada";"Use como dado de composição alimentar, não como meta diária isolada.";"2098";"2000"
"male_19_30";"4098";"20:5 (g)";"20:5 (g)";"sem DRI individual";"";"";"";"";"Sem RDA/AI individual estabelecida para esta coluna isolada";"Use como dado de composição alimentar, não como meta diária isolada.";"2098";"2000"
"male_19_30";"4098";"22:5 (g)";"22:5 (g)";"sem DRI individual";"";"";"";"";"Sem RDA/AI individual estabelecida para esta coluna isolada";"Use como dado de composição alimentar, não como meta diária isolada.";"2098";"2000"
"male_19_30";"4098";"22:6 (g)";"22:6 (g)";"sem DRI individual";"";"";"";"";"Sem RDA/AI individual estabelecida para esta coluna isolada";"Use como dado de composição alimentar, não como meta diária isolada.";"2098";"2000"
"male_19_30";"4098";"Arginina (g)";"Arginina (g)";"sem DRI individual";"";"";"";"";"Sem RDA/AI individual estabelecida para esta coluna isolada";"Use como dado de composição alimentar, não como meta diária isolada.";"2098";"2000"
"male_19_30";"4098";"Alanina (g)";"Alanina (g)";"sem DRI individual";"";"";"";"";"Sem RDA/AI individual estabelecida para esta coluna isolada";"Use como dado de composição alimentar, não como meta diária isolada.";"2098";"2000"
"male_19_30";"4098";"Ácido Aspártico (g)";"Ácido Aspártico (g)";"sem DRI individual";"";"";"";"";"Sem RDA/AI individual estabelecida para esta coluna isolada";"Use como dado de composição alimentar, não como meta diária isolada.";"2098";"2000"
"male_19_30";"4098";"Ácido Glutâmico (g)";"Ácido Glutâmico (g)";"sem DRI individual";"";"";"";"";"Sem RDA/AI individual estabelecida para esta coluna isolada";"Use como dado de composição alimentar, não como meta diária isolada.";"2098";"2000"
"male_19_30";"4098";"Glicina (g)";"Glicina (g)";"sem DRI individual";"";"";"";"";"Sem RDA/AI individual estabelecida para esta coluna isolada";"Use como dado de composição alimentar, não como meta diária isolada.";"2098";"2000"
"male_19_30";"4098";"Prolina (g)";"Prolina (g)";"sem DRI individual";"";"";"";"";"Sem RDA/AI individual estabelecida para esta coluna isolada";"Use como dado de composição alimentar, não como meta diária isolada.";"2098";"2000"
"male_19_30";"4098";"Serina (g)";"Serina (g)";"sem DRI individual";"";"";"";"";"Sem RDA/AI individual estabelecida para esta coluna isolada";"Use como dado de composição alimentar, não como meta diária isolada.";"2098";"2000"
